subject,movedur,effmass,distance ,metpowernet,metpowergross,speed,
5,0.908,11.5,0.1,43.8,115.00,4,
5,1.073,11.5,0.1,44.3,115.48,5,
5,1.238,11.5,0.1,38.9,110.09,6,
5,1.409,11.5,0.1,24.3,95.48,7,
6,0.542,2.47,0.1,73.4,139.88,1,
6,0.597,2.47,0.1,69.4,135.91,2,
6,0.681,2.47,0.1,50.2,116.74,3,
6,0.826,2.47,0.1,19,85.54,4,
6,1.006,2.47,0.1,11.5,78.01,5,
6,1.162,2.47,0.1,13.3,79.79,6,
6,0.558,4.73,0.1,79.5,156.21,1,
6,0.621,4.73,0.1,73.6,150.36,2,
6,0.706,4.73,0.1,36.9,113.58,3,
6,0.809,4.73,0.1,38.2,114.88,4,
6,0.996,4.73,0.1,11.8,88.54,5,
6,1.157,4.73,0.1,5.6,82.33,6,
6,0.635,6.99,0.1,54.1,130.86,2,
6,0.702,6.99,0.1,27.9,104.64,3,
6,0.829,6.99,0.1,31.5,108.23,4,
6,0.999,6.99,0.1,19.2,95.94,5,
6,1.159,6.99,0.1,2.46,79.18,6,
6,1.293,6.99,0.1,6.16,82.88,7,
6,0.603,11.5,0.1,122,188.62,2,
6,0.692,11.5,0.1,71.7,138.18,3,
6,0.843,11.5,0.1,21.6,88.09,4,
6,1.001,11.5,0.1,22.1,88.58,5,
6,1.156,11.5,0.1,21.7,88.25,6,
6,1.363,11.5,0.1,11.4,77.91,7,
7,0.511,2.47,0.1,88.9,166.38,1,
7,0.568,2.47,0.1,67.6,145.07,2,
7,0.680,2.47,0.1,55.1,132.57,3,
7,0.870,2.47,0.1,20,97.43,4,
7,1.044,2.47,0.1,39.2,116.68,5,
7,1.232,2.47,0.1,11.4,88.80,6,
7,0.499,4.73,0.1,164,233.49,1,
7,0.525,4.73,0.1,133,203.07,2,
7,0.639,4.73,0.1,71.1,140.84,3,
7,0.840,4.73,0.1,35.1,104.88,4,
7,1.033,4.73,0.1,36.7,106.41,5,
7,1.205,4.73,0.1,33.5,103.30,6,
7,0.541,6.99,0.1,122,199.27,2,
7,0.667,6.99,0.1,54.4,131.88,3,
7,0.870,6.99,0.1,37,114.44,4,
7,1.051,6.99,0.1,7.63,85.07,5,
7,1.233,6.99,0.1,27.5,104.99,6,
7,1.408,6.99,0.1,4.67,82.12,7,
7,0.599,11.5,0.1,171,240.27,2,
