c,subj,s,t,movedur,sum_t2
4,2,5,4,0.94231,1.9858
4,2,5,5,0.959,8.6657
4,2,5,6,0.98545,3.0916
4,2,5,7,0.96062,7.8327
4,2,5,8,0.97231,2.4452
4,2,6,1,1.1385,2.015
4,2,6,2,1.1588,0.73088
4,2,6,3,1.2043,1.5223
4,2,6,4,1.1797,0.64042
4,2,6,5,1.31,1.9989
4,2,6,6,1.2058,1.0141
4,2,6,7,1.2521,2.2177
4,2,6,8,1.302,0.59055
4,3,2,1,0.62538,36.29
4,3,2,2,0.55455,18.376
4,3,2,3,0.61235,37.829
4,3,2,4,0.55233,17.232
4,3,2,5,0.66231,54.447
4,3,2,6,0.61182,22.685
4,3,2,7,0.66618,56.901
4,3,2,8,0.59133,25.983
4,3,3,1,0.66417,27.406
4,3,3,2,0.64,11.41
4,3,3,3,0.68417,26.76
4,3,3,4,0.7015,10.854
4,3,3,5,0.69125,38.132
4,3,3,6,0.66375,16.375
4,3,3,7,0.73667,33.524
4,3,3,8,0.7,14.756
4,3,4,1,0.87714,8.7309
4,3,4,2,0.83875,4.1197
4,3,4,3,0.82692,8.9131
4,3,4,4,0.85864,3.602
4,3,4,5,0.89143,13.077
4,3,4,6,0.84042,5.6586
4,3,4,7,0.92885,11.441
4,3,4,8,0.8725,4.7431
4,3,5,1,1.0523,4.0027
4,3,5,2,1.0154,1.5619
4,3,5,3,1.0717,3.5654
4,3,5,4,1,1.5029
4,3,5,5,1.0673,5.2844
4,3,5,6,1.0708,2.3383
4,3,5,7,1.12,5.1279
4,3,5,8,1.0928,2.1319
4,3,6,1,1.2245,2.3946
4,3,6,2,1.2235,0.75485
4,3,6,3,1.2844,1.7232
4,3,6,4,1.2528,0.68925
4,3,6,5,1.2473,3.0374
4,3,6,6,1.2612,1.2278
4,3,6,7,1.2478,2.5614
4,3,6,8,1.2511,0.98735
4,4,2,1,0.58857,52.359
4,4,2,2,0.61367,16.292
4,4,2,3,0.61667,44.633
4,4,2,4,0.59708,15.389
4,4,2,5,0.602,61.604
4,4,2,6,0.65667,19.817
4,4,2,7,0.59867,69.474
4,4,2,8,0.60667,25.389
4,4,3,1,0.70533,18.623
4,4,3,2,0.71192,5.4728
4,4,3,3,0.69233,18.902
4,4,3,4,0.6975,5.6264
4,4,3,5,0.72867,32.393
4,4,3,6,0.71846,11.217
4,4,3,7,0.7625,23.487
4,4,3,8,0.75393,6.4993
4,4,4,1,0.86455,7.1051
4,4,4,2,0.82,2.6606
4,4,4,3,0.85714,6.4525
4,4,4,4,0.85667,2.075
4,4,4,5,0.94591,9.8323
4,4,4,6,0.91187,3.0219
4,4,4,7,0.94786,7.4135
4,4,4,8,0.84042,2.337
4,4,5,1,1.0593,2.7258
4,4,5,2,1.0485,0.93009
4,4,5,3,1.0446,2.8198
4,4,5,4,1.0485,0.88811
4,4,5,5,1.135,4.3793
4,4,5,6,1.1245,1.1071
4,4,5,7,1.1481,3.3315
4,4,5,8,1.0975,0.99509
4,4,6,1,1.2305,1.876
4,4,6,2,1.2435,0.55954
4,4,6,3,1.2511,1.6311
4,4,6,4,1.2167,0.569
4,4,6,5,1.276,1.9503
4,4,6,6,1.3018,0.57608
4,4,6,7,1.2989,1.869
4,4,6,8,1.3205,0.52749
4,5,2,1,0.64643,30.93
4,5,2,2,0.59192,14.812
4,5,2,3,0.62167,37.334
4,5,2,4,0.60214,13.168
4,5,2,5,0.86071,23.637
4,5,2,6,0.74615,20.132
4,5,2,7,0.74533,57.024
4,5,2,8,0.65767,20.35
4,5,3,1,0.69929,24.186
4,5,3,2,0.69722,10.889
4,5,3,3,0.66346,30.493
4,5,3,4,0.68818,10.626
4,5,3,5,0.76567,49.041
4,5,3,6,0.73389,17.652
4,5,3,7,0.78538,38.146
4,5,3,8,0.72364,12.649
4,5,4,1,0.86667,7.0098
4,5,4,2,0.8675,2.4608
4,5,4,3,0.84214,7.6129
4,5,4,4,0.90382,2.5036
4,5,4,5,0.93,15.507
4,5,4,6,0.948,4.5412
4,5,4,7,0.97071,12.456
4,5,4,8,0.95529,4.3887
4,5,5,1,1.0017,3.4158
4,5,5,2,0.978,1.3786
4,5,5,3,1.0404,3.2955
4,5,5,4,1.021,1.0989
4,5,5,5,1.0844,5.8593
4,5,5,6,1.125,1.7464
4,5,5,7,1.1196,4.9588
4,5,5,8,1.116,1.8346
4,5,6,1,1.2167,1.9415
4,5,6,2,1.2096,0.64186
4,5,6,3,1.2179,1.6541
4,5,6,4,1.2239,0.57081
4,5,6,5,1.2775,2.1548
4,5,6,6,1.2031,0.90148
4,5,6,7,1.2754,2.316
4,5,6,8,1.2839,0.708
4,6,2,1,0.575,25.388
4,6,2,2,0.55867,13.976
4,6,2,3,0.58722,35.937
4,6,2,4,0.57263,13.958
4,6,2,5,0.688,48.397
4,6,2,6,0.64333,21.02
4,6,2,7,0.5955,28.032
4,6,2,8,0.624,19.226
4,6,3,1,0.66033,21.899
4,6,3,2,0.64214,9.4918
4,6,3,3,0.65333,22.146
4,6,3,4,0.66056,9.4178
4,6,3,5,0.74667,30.358
4,6,3,6,0.66643,15.398
4,6,3,7,0.7525,26.992
4,6,3,8,0.68167,11.885
4,6,4,1,0.81591,8.1433
4,6,4,2,0.8275,2.6145
4,6,4,3,0.80786,8.2693
4,6,4,4,0.81269,2.5836
4,6,4,5,0.91136,9.7712
4,6,4,6,0.84176,4.9898
4,6,4,7,0.93278,6.9932
4,6,4,8,0.85538,4.3553
4,6,5,1,1.0096,3.485
4,6,5,2,0.99538,1.0807
4,6,5,3,0.9315,4.4572
4,6,5,4,0.959,1.1289
4,6,5,5,1.0262,6.1002
4,6,5,6,1.0265,2.1354
4,6,5,7,1.07,5.0017
4,6,5,8,1.0059,1.4337
4,6,6,1,1.183,2.1258
4,6,6,2,1.1195,0.72931
4,6,6,3,1.1309,2.3602
4,6,6,4,1.0823,0.86825
4,6,6,5,1.1785,2.4088
4,6,6,6,1.1205,0.84722
4,6,6,7,1.2171,3.3438
4,6,6,8,1.1086,1.1207
4,7,2,1,0.59767,48.711
4,7,2,2,0.59067,15.827
4,7,2,3,0.61115,46.503
4,7,2,4,0.56156,16.825
4,7,2,5,0.589,62.55
4,7,2,6,0.60433,24.439
4,7,2,7,0.62731,61.084
4,7,2,8,0.58063,23.211
4,7,3,1,0.645,22.887
4,7,3,2,0.64682,7.3698
4,7,3,3,0.68875,19.266
4,7,3,4,0.67833,7.0047
4,7,3,5,0.65667,30.869
4,7,3,6,0.66773,14.393
4,7,3,7,0.71313,25.064
4,7,3,8,0.65806,11.699
4,7,4,1,0.85909,6.5878
4,7,4,2,0.82559,2.4794
4,7,4,3,0.80167,8.0615
4,7,4,4,0.85778,2.0009
4,7,4,5,0.88182,11.03
4,7,4,6,0.85206,3.1564
4,7,4,7,0.865,9.9351
4,7,4,8,0.86444,2.6085
4,7,5,1,1.0627,2.7885
4,7,5,2,0.92143,1.9073
4,7,5,3,1.0217,3.2319
4,7,5,4,1.0065,1.0937
4,7,5,5,1.0425,3.6754
4,7,5,6,0.96786,1.6052
4,7,5,7,1.0695,4.0786
4,7,5,8,1.0326,1.4831
4,7,6,1,1.2046,1.7537
4,7,6,2,1.2135,0.59648
4,7,6,3,1.2035,1.8793
4,7,6,4,1.2328,0.56167
4,7,6,5,1.2273,2.1977
4,7,6,6,1.241,0.76747
4,7,6,7,1.216,2.6819
4,7,6,8,1.2811,0.54451
4,8,2,1,0.56885,29.052
4,8,2,2,0.56406,12.846
4,8,2,3,0.63176,29.681
4,8,2,4,0.58722,13.196
4,8,2,5,0.6625,66.099
4,8,2,6,0.62781,24.176
4,8,2,7,0.62618,36.927
4,8,2,8,0.58278,18.562
4,8,3,1,0.69208,18.609
4,8,3,2,0.66233,7.3544
4,8,3,3,0.69923,15.938
4,8,3,4,0.6525,7.1713
4,8,3,5,0.73042,31.847
4,8,3,6,0.681,11.996
4,8,3,7,0.72154,25.892
4,8,3,8,0.66964,12.372
4,8,4,1,0.847,7.3336
4,8,4,2,0.81091,3.3402
4,8,4,3,0.80176,9.2759
4,8,4,4,0.82375,3.0026
4,8,4,5,0.858,18.287
4,8,4,6,0.77909,6.2951
4,8,4,7,0.85882,14.068
4,8,4,8,0.84333,4.3662
4,8,5,1,1.035,3.1798
4,8,5,2,0.9305,1.397
4,8,5,3,1.0182,3.069
4,8,5,4,1.0025,1.1501
4,8,5,5,1.0037,5.8663
4,8,5,6,0.9855,2.0591
4,8,5,7,1.05,7.1997
4,8,5,8,1.0696,1.4151
4,8,6,1,1.165,2.0193
4,8,6,2,1.1078,0.85662
4,8,6,3,1.1994,2.0423
4,8,6,4,1.1315,0.65363
4,8,6,5,1.1265,4.4398
4,8,6,6,1.1628,0.86116
4,8,6,7,1.2205,2.8817
4,8,6,8,1.186,0.94551
